,Individual,Population,Sex,Age,Nuchal.Crest,L.Mastoid,R.Mastoid,L.Supraorbital.Margin,R.Supraorbital.Margin,Glabella,Mental.Eminence,L.Ventral.Arc,R.Ventral.Arc,L.Subpubic.Concavity,R.Subpubic.Concavity,L.Ischiopubic.Ramus,R.Ischiopubic.Ramus,L.Sciatic.Notch,R.Sciatic.Notch,L.Transverse,L.Texture,L.Micro,L.Macro,L.Apical,R.Transverse,R.Texture,R.Micro,R.Macro,R.Apical,L.Pubic.Symphysis,R.Pubic.Symphysis,,,,,
92,S430V0965,MB11,Female,EYA,NA,1,1,1,1,1,3,NA,NA,1,NA,1,NA,1,1,4,2,2,3,1,4,3,3,2,1,NA,NA,,,,,
93,S434V0958,MB11,Female,EYA,1,2,1,1,2,1,NA,NA,1,NA,1,NA,1,1,1,5,1,1,2,1,4,1,1,2,1,NA,NA,,,,,
94,S040V0064,MB11,Female,LYA,1,2,2,1,1,1,2,1,1,NA,1,NA,1,1,2,2,5,1,3,1,NA,NA,NA,NA,NA,1,NA,,,,,
95,S045V0055,MB11,Female,LYA,1,NA,NA,3,2,1,1,1,1,2,2,1,1,3,3,5,3,3,2,2,5,4,3,3,1,4,5,,,,,
96,S047V0045,MB11,Female,LYA,NA,NA,3,NA,1,1,2,2,2,1,1,1,1,1,1,3,5,2,2,1,3,5,2,3,1,2,1,,,,,
97,S183V0311,MB11,Female,LYA,2,1,1,1,1,1,2,3,2,1,1,1,1,2,2,5,5,3,1,1,3,5,3,2,1,2,3,,,,,
98,S243V0381,MB11,Female,LYA,2,1,1,1,2,1,3,1,NA,2,NA,1,NA,1,NA,4,2,3,2,2,NA,NA,NA,NA,NA,5,NA,,,,,
99,S294V0487,MB11,Female,LYA,2,2,3,2,1,1,2,4,3,4,5,3,3,2,2,2,2,3,2,1,3,4,3,3,2,5,5,,,,,
100,S301V0571,MB11,Female,LYA,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,3,1,3,3,1,2,2,3,2,2,4,5,,,,,
101,S302V0509,MB11,Female,LYA,2,1,1,2,2,1,3,2,NA,1,NA,1,NA,1,1,2,2,3,2,1,3,3,3,2,2,5,NA,,,,,
102,S319V0669,MB11,Female,LYA,5,1,1,4,3,2,4,1,2,1,1,1,2,1,1,4,2,3,3,3,5,1,3,3,1,3,4,,,,,
103,S355V0748,MB11,Female,LYA,1,NA,NA,2,2,1,3,NA,NA,2,2,2,2,1,1,2,4,3,3,1,3,4,3,2,1,NA,NA,,,,,
104,S358V0763,MB11,Female,LYA,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,4,3,2,1,3,4,3,2,1,5,5,,,,,
105,S369V0886,MB11,Female,LYA,5,1,1,2,2,1,4,NA,NA,1,1,NA,NA,1,1,3,4,3,2,1,3,1,2,2,1,NA,NA,,,,,
106,S385V0874,MB11,Female,LYA,2,1,1,2,2,1,2,2,2,1,1,1,1,2,1,NA,NA,NA,NA,NA,4,5,3,1,2,1,NA,,,,,
107,S390V0831,MB11,Female,LYA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,2,4,2,3,3,2,3,2,3,2,2,NA,NA,,,,,
108,S401V0876,MB11,Female,LYA,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,2,5,3,2,1,3,5,3,2,1,NA,NA,,,,,
109,S405V0882,MB11,Female,LYA,1,2,1,2,2,1,4,1,1,1,1,1,1,2,2,4,4,3,2,1,4,4,3,2,1,4,4,,,,,
110,S420V0936,MB11,Female,LYA,3,1,1,1,1,1,3,3,NA,1,NA,1,NA,3,4,4,2,2,2,1,4,2,3,2,1,2,NA,,,,,
111,S452V0985,MB11,Female,LYA,1,1,1,1,1,2,1,1,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,5,5,1,1,1,1,NA,,,,,
112,S453V0973,MB11,Female,LYA,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,4,3,3,1,3,5,3,3,1,3,3,,,,,
113,S466V1010,MB11,Female,LYA,4,1,1,2,2,2,3,3,1,1,2,3,2,1,1,4,5,1,2,1,3,5,1,3,1,NA,3,,,,,
114,S474V0998,MB11,Female,LYA,3,5,5,2,2,1,3,2,2,NA,2,NA,1,1,1,3,4,3,3,1,NA,NA,NA,NA,NA,6,6,,,,,
115,S476V1054,MB11,Female,LYA,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,5,3,2,1,4,5,2,3,1,4,5,,,,,
116,S088V0094,MB11,Female,MA,1,1,1,1,1,1,3,NA,1,NA,NA,NA,NA,1,1,4,5,3,3,1,5,5,3,3,3,NA,4,,,,,
117,S101V0131,MB11,Female,MA,4,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,2,4,4,3,3,1,4,3,3,2,NA,NA,NA,,,,,
118,S110V0213,MB11,Female,MA,3,NA,1,1,1,1,2,NA,1,NA,1,NA,1,2,2,NA,NA,NA,NA,NA,3,4,3,1,1,NA,4,,,,,
119,S149V0280,MB11,Female,MA,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,3,3,4,5,3,2,1,4,5,2,3,1,NA,NA,,,,,
120,S153V0435,MB11,Female,MA,4,1,1,4,NA,1,2,4,NA,1,NA,3,NA,4,5,2,3,3,2,1,3,3,3,1,1,5,NA,,,,,
121,S157V0470,MB11,Female,MA,1,NA,NA,NA,1,1,1,1,NA,3,NA,3,NA,1,1,4,5,3,2,2,4,5,3,2,2,NA,NA,,,,,
122,S162V0316,MB11,Female,MA,2,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,3,3,5,5,3,3,2,5,5,3,3,3,NA,NA,,,,,
123,S170V0660,MB11,Female,MA,4,3,3,3,3,1,1,2,2,2,2,2,2,4,4,4,5,3,3,3,4,5,3,3,3,4,NA,,,,,
124,S202V0284,MB11,Female,MA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,3,3,3,4,4,3,2,3,NA,NA,,,,,
125,S207V0334,MB11,Female,MA,2,3,4,1,1,3,2,1,1,2,2,3,3,1,2,5,4,3,3,3,4,3,3,3,2,6,6,,,,,
126,S309V0616,MB11,Female,MA,1,1,1,1,1,1,2,1,NA,1,1,1,NA,1,2,5,4,3,3,3,5,5,3,3,2,4,3,,,,,
127,S338V0721,MB11,Female,MA,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,3,4,5,3,1,2,2,5,3,2,1,NA,NA,,,,,
128,S339V0728,MB11,Female,MA,1,NA,1,2,1,1,5,1,2,1,1,1,1,1,1,3,4,3,3,1,5,5,3,3,2,6,6,,,,,
129,S345V0757,MB11,Female,MA,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,1,1,4,4,3,2,1,3,4,3,3,2,NA,NA,,,,,
130,S392V0829,MB11,Female,MA,4,1,1,1,1,1,2,1,1,1,2,1,1,3,1,5,5,3,3,1,5,5,3,3,1,6,6,,,,,
131,S422V0962,MB11,Female,MA,5,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,5,4,3,3,1,4,5,3,2,1,NA,NA,,,,,
132,S461V0990,MB11,Female,MA,1,NA,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,4,4,2,3,2,5,4,3,3,2,NA,NA,,,,,
133,S468V1009,MB11,Female,MA,2,1,1,1,1,1,4,NA,2,1,NA,1,NA,1,1,4,4,3,3,2,4,4,3,3,1,NA,NA,,,,,
134,S097V0156,MB11,Female,OA,1,1,2,1,1,1,1,5,NA,1,1,2,2,2,2,5,4,3,3,2,5,4,3,3,2,2,NA,,,,,
135,S126V0184,MB11,Female,OA,NA,NA,3,5,5,2,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,3,2,2,4,4,3,3,3,NA,NA,,,,,
136,S137V0491,MB11,Female,OA,5,1,NA,2,NA,1,2,3,NA,NA,NA,4,NA,3,3,4,5,3,3,3,5,5,3,3,2,NA,NA,,,,,
137,S155V1509,MB11,Female,OA,2,1,1,1,1,1,1,NA,2,NA,1,NA,1,3,2,5,4,3,3,3,4,5,3,3,2,NA,NA,,,,,
138,S331V0735,MB11,Female,OA,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,5,5,3,3,1,5,5,3,3,2,5,5,,,,,
139,S344V0730,MB11,Female,OA,4,2,1,1,1,2,4,NA,NA,NA,NA,NA,NA,1,1,4,5,3,2,3,NA,NA,NA,NA,NA,NA,NA,,,,,
140,S359V0760,MB11,Male,EYA,4,5,5,5,4,3,4,NA,NA,NA,NA,NA,NA,3,3,3,1,3,2,1,3,4,2,2,1,NA,NA,,,,,
141,S379V0851,MB11,Male,EYA,5,1,1,2,2,NA,5,5,5,5,5,1,1,3,3,5,1,2,3,1,4,1,2,2,1,1,1,,,,,
142,S404V1139,MB11,Male,EYA,3,3,3,5,5,4,4,5,4,5,5,3,3,5,5,4,3,1,1,1,3,3,1,2,2,3,NA,,,,,
143,S464V1012,MB11,Male,EYA,3,2,1,5,4,5,4,NA,3,NA,5,NA,2,NA,5,NA,NA,NA,NA,NA,1,4,2,2,1,NA,NA,,,,,
144,S092V0124,MB11,Male,LYA,3,2,2,2,1,4,5,NA,2,NA,NA,NA,3,4,3,3,4,3,2,1,3,5,2,1,1,NA,3,,,,,
145,S158V0427,MB11,Male,LYA,4,4,5,4,4,5,5,4,4,4,4,5,5,5,5,2,2,3,3,1,3,3,3,3,2,5,5,,,,,
146,S226V0282,MB11,Male,LYA,5,5,5,3,3,1,5,4,4,4,4,4,4,5,5,4,1,2,1,1,3,4,2,3,1,4,4,,,,,
147,S236V0335,MB11,Male,LYA,5,1,1,3,2,4,5,5,5,4,4,3,4,4,3,2,4,3,2,2,3,4,1,3,1,1,1,,,,,
148,S249V0394,MB11,Male,LYA,5,4,4,4,4,3,2,NA,NA,NA,NA,NA,NA,5,5,3,3,3,2,3,2,3,2,2,1,NA,NA,,,,,
149,S250V0402,MB11,Male,LYA,4,4,4,5,5,4,NA,4,4,1,1,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,,,,,
150,S251V0624,MB11,Male,LYA,4,2,2,4,4,2,4,4,4,4,4,5,5,4,4,4,4,3,2,1,5,3,2,3,1,5,5,,,,,
151,S260V1503,MB11,Male,LYA,1,5,5,NA,NA,4,NA,NA,5,NA,3,NA,3,4,4,3,5,3,2,1,3,5,3,3,1,NA,1,,,,,
152,S290V0472,MB11,Male,LYA,5,4,4,1,1,4,5,NA,NA,NA,NA,NA,NA,5,5,4,5,2,2,1,4,5,2,2,1,NA,NA,,,,,
153,S317V0649,MB11,Male,LYA,5,5,5,2,2,NA,5,NA,NA,NA,NA,NA,NA,3,3,4,3,3,2,1,4,2,3,2,1,NA,NA,,,,,
154,S324V0671,MB11,Male,LYA,2,2,1,1,1,3,3,NA,5,NA,4,NA,4,4,4,4,4,3,3,1,2,3,3,2,1,NA,2,,,,,
155,S325V0676,MB11,Male,LYA,5,1,2,1,1,4,5,NA,5,NA,4,NA,4,4,5,NA,NA,NA,NA,NA,4,4,3,2,1,NA,2,,,,,
156,S363V0766,MB11,Male,LYA,2,5,5,1,1,5,5,1,2,5,5,2,2,3,4,4,3,3,3,3,4,1,3,2,1,3,3,,,,,
157,S380V0821,MB11,Male,LYA,4,3,2,1,1,4,3,2,NA,2,NA,1,NA,3,3,3,5,3,2,1,2,3,3,1,3,2,NA,,,,,
158,S391V0826,MB11,Male,LYA,3,2,2,4,4,4,3,4,NA,5,NA,5,NA,2,2,4,3,3,3,1,NA,NA,NA,NA,NA,5,NA,,,,,
159,S416V1507,MB11,Male,LYA,5,5,4,3,3,5,NA,4,4,3,3,5,5,5,5,2,4,2,3,1,3,2,2,2,1,4,4,,,,,
160,S436V0911,MB11,Male,LYA,3,3,1,4,4,1,4,NA,NA,NA,NA,NA,NA,4,3,3,4,3,3,1,4,5,3,2,1,NA,NA,,,,,
161,S034V0074,MB11,Male,MA,3,3,3,4,4,4,3,NA,NA,5,NA,4,5,5,5,5,5,3,3,2,5,5,3,3,NA,NA,3,,,,,
162,S051V0059,MB11,Male,MA,4,5,3,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,3,1,4,4,3,2,1,3,3,,,,,
163,S064V0050,MB11,Male,MA,2,2,NA,4,4,4,5,4,4,4,4,5,5,3,3,4,3,3,3,2,4,3,3,2,3,4,4,,,,,
164,S070V0067,MB11,Male,MA,2,4,4,4,4,5,4,5,5,4,4,3,3,4,4,4,4,3,3,3,5,4,3,2,2,4,4,,,,,
165,S100V0159,MB11,Male,MA,5,5,5,NA,2,NA,5,4,3,4,4,5,5,2,2,5,5,3,3,3,6,6,NA,NA,NA,NA,NA,,,,,
166,S155V0196,MB11,Male,MA,5,2,3,4,4,4,4,5,5,3,3,3,3,2,2,5,3,3,3,2,5,4,3,3,3,4,5,,,,,
167,S174V0408,MB11,Male,MA,2,1,1,4,4,3,5,1,NA,1,NA,2,NA,4,2,4,5,3,2,1,4,5,3,2,1,NA,NA,,,,,
168,S216V0233,MB11,Male,MA,5,5,5,2,1,1,4,1,2,1,1,1,1,4,3,5,3,3,2,3,4,3,3,2,3,6,4,,,,,
169,S237V0348,MB11,Male,MA,5,5,5,3,3,2,4,5,5,5,5,5,5,5,5,3,3,3,2,1,4,2,3,2,1,NA,NA,,,,,
170,S253V0466,MB11,Male,MA,5,4,4,2,2,2,1,5,NA,5,NA,5,NA,5,4,NA,NA,NA,NA,NA,5,2,3,2,3,NA,NA,,,,,
171,S285V0452,MB11,Male,MA,4,NA,3,5,5,5,5,3,3,5,5,4,5,5,5,3,4,3,3,2,3,4,3,3,3,4,4,,,,,
172,S289V0477,MB11,Male,MA,NA,3,2,4,4,5,2,4,4,NA,NA,4,4,4,4,5,3,2,3,3,4,4,3,2,1,5,4,,,,,
173,S313V0926,MB11,Male,MA,4,3,2,5,4,5,4,NA,2,NA,2,NA,1,5,5,5,4,3,2,1,5,4,3,2,2,5,5,,,,,
174,S342V0737,MB11,Male,MA,5,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA,5,5,5,5,2,3,1,5,4,3,3,1,NA,NA,,,,,
175,S375V0215,MB11,Male,MA,3,1,2,1,1,1,1,4,4,5,5,5,5,5,5,3,1,3,2,2,4,4,3,2,3,5,6,,,,,
176,S402V0907,MB11,Male,MA,4,2,1,1,1,5,3,4,4,1,1,2,2,5,5,4,4,3,2,2,5,3,3,3,2,4,4,,,,,
177,S473V1003,MB11,Male,MA,5,3,3,2,2,5,4,NA,NA,NA,NA,NA,NA,5,5,3,5,3,2,2,3,5,2,2,2,NA,NA,,,,,
178,S144V0222,MB11,Male,OA,5,4,5,5,5,5,5,NA,5,4,4,3,3,2,3,5,5,3,2,3,5,5,3,2,3,NA,4,,,,,
179,S233V0304,MB11,Male,OA,5,4,4,4,4,5,5,4,4,5,5,5,5,4,4,5,5,3,2,3,5,3,3,2,2,NA,NA,,,,,
180,S239V0369,MB11,Male,OA,NA,2,2,1,1,2,4,NA,5,4,4,5,5,5,5,5,5,4,2,2,4,5,3,2,1,NA,NA,,,,,
181,S242V0338,MB11,Male,OA,4,4,4,4,4,5,4,2,NA,3,NA,5,NA,4,5,5,5,3,3,1,4,3,3,3,1,6,NA,,,,,
182,S297V0498,MB11,Male,OA,4,4,4,5,5,5,4,NA,NA,NA,NA,NA,NA,4,4,4,5,3,3,2,3,5,3,3,2,NA,NA,,,,,
183,S306V0561,MB11,Male,OA,4,4,4,5,5,4,5,4,4,5,5,5,4,5,5,5,5,3,3,3,5,5,3,3,2,NA,NA,,,,,
184,S337V0714,MB11,Male,OA,5,4,5,5,2,4,5,4,4,4,4,5,4,5,5,5,5,3,2,2,5,5,3,3,3,4,6,,,,,
185,S349V0752,MB11,Male,OA,5,5,5,5,4,5,3,4,5,5,NA,5,NA,5,5,5,3,3,3,3,5,4,3,3,3,6,6,,,,,
186,S477V1030,MB11,Male,OA,2,5,5,5,5,5,4,1,1,1,1,1,1,3,4,NA,NA,NA,NA,NA,4,4,3,3,3,6,6,,,,,
