Individual,Population,Sex,Age,Nuchal.Crest,L.Mastoid,R.Mastoid,L.Supraorbital.Margin,R.Supraorbital.Margin,Glabella,Mental.Eminence,L.Ventral.Arc,R.Ventral.Arc,L.Subpubic.Concavity,R.Subpubic.Concavity,L.Ischiopubic.Ramus,R.Ischiopubic.Ramus,L.Sciatic.Notch,R.Sciatic.Notch,L.Transverse,L.Texture,L.Micro,L.Macro,L.Apical,R.Transverse,R.Texture,R.Micro,R.Macro,R.Apical,L.Pubic.Symphysis,R.Pubic.Symphysis
S0258V0246,ARJB,Female,OA,4,5,NA,2,2,5,NA,3,3,3,3,4,4,2,2,5,5,3,3,3,5,5,3,3,2,5,5
S0290V0298,ARJB,Female,LYA,3,3,2,4,4,1,NA,1,1,1,1,2,2,1,3,5,4,3,3,3,NA,NA,NA,NA,NA,5,5
S0438V0687,ARJB,Female,EYA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,1,1,3,4,2,2,1,2,NA
S0687V1350,ARJB,Female,LYA,3,1,1,3,3,1,4,1,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
S0711V1585,ARJB,Female,LYA,4,1,1,2,1,1,2,3,3,1,1,2,2,1,1,3,2,2,2,2,3,4,1,2,1,3,3
S0722V1434,ARJB,Female,EYA,2,3,NA,1,1,2,4,2,2,1,1,2,2,2,2,2,1,2,2,1,3,1,3,1,1,1,1
S0726V1440,ARJB,Female,MA,5,1,3,3,3,1,3,2,1,1,1,3,3,4,3,4,4,3,3,2,4,4,3,3,2,4,4
S0754V1506,ARJB,Female,LYA,5,1,1,2,2,3,2,1,1,1,1,1,1,2,1,4,4,3,1,1,4,4,2,1,2,4,4
S0762V1530,ARJB,Female,LYA,1,3,4,2,2,1,4,1,1,1,1,2,2,2,3,4,4,3,2,1,4,4,3,2,1,6,6
S0798V1633,ARJB,Female,LYA,2,4,4,NA,2,4,3,1,1,2,1,2,1,1,1,4,4,1,2,1,4,3,1,1,1,5,5
S0862V1752,ARJB,Female,LYA,4,2,2,1,1,1,5,2,2,1,2,1,1,1,1,3,2,3,2,1,3,4,3,2,1,6,5
S0905V1840,ARJB,Female,LYA,4,2,NA,2,2,2,4,1,2,3,3,1,1,2,2,4,3,3,2,2,4,3,3,2,2,NA,NA
S1040V2090,ARJB,Female,OA,5,1,1,1,1,1,4,5,NA,2,NA,2,NA,1,NA,5,5,3,3,2,NA,NA,NA,NA,NA,NA,NA
S1269V2481,ARJB,Female,MA,3,2,2,NA,2,1,2,1,1,1,1,1,1,2,2,5,4,3,2,2,4,4,3,2,2,3,3
S0571V0974,ARJB,Female,MA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,3,2,4,2,3,3,1,5,2,3,3,3,NA,NA
S0449V0686,ARJB,Female,LYA,3,2,1,2,2,1,1,2,2,3,NA,1,1,1,1,4,2,3,3,1,3,4,3,3,1,2,2
S0539V0855,ARJB,Female,EYA,3,4,4,2,2,1,1,NA,NA,NA,NA,NA,NA,2,2,3,4,1,2,1,2,4,1,2,1,NA,NA
S0766V1544,ARJB,Female,LYA,4,2,2,1,1,1,1,NA,2,NA,2,NA,1,NA,4,NA,NA,NA,NA,NA,3,4,3,2,1,NA,5
S1207V2484,ARJB,Female,LYA,3,1,1,2,2,1,2,2,3,1,1,1,1,1,1,4,2,3,2,1,4,4,3,2,1,5,5
S1038V2085,ARJB,Female,OA,4,1,1,2,2,NA,3,NA,NA,NA,NA,NA,NA,4,NA,5,5,3,3,2,NA,NA,NA,NA,NA,NA,NA
S1267V2470,ARJB,Female,LYA,1,2,1,1,2,1,3,3,NA,2,NA,1,NA,2,NA,3,4,2,2,2,NA,NA,NA,NA,NA,NA,NA
S1242V2429,ARJB,Female,LYA,4,3,2,2,3,2,2,4,3,2,2,2,2,3,3,4,3,3,1,1,4,4,3,2,1,2,3
S1280V2496,ARJB,Female,LYA,3,1,1,3,3,1,NA,NA,NA,NA,2,NA,5,NA,4,NA,NA,NA,NA,NA,4,4,3,1,1,NA,NA
S0852V1726,ARJB,Female,LYA,3,2,2,3,3,1,3,NA,NA,NA,NA,NA,NA,1,1,4,3,3,3,1,4,4,3,2,1,NA,NA
S1110V2193,ARJB,Female,LYA,NA,4,3,2,2,1,2,2,1,1,1,1,1,1,2,4,3,3,3,1,4,3,3,3,1,NA,1
S1013V2044,ARJB,Female,LYA,2,1,1,4,4,2,4,2,1,1,1,1,1,1,1,3,3,3,2,1,4,3,3,2,1,5,6
S0710V1401,ARJB,Female,EYA,1,1,1,1,1,2,3,1,1,2,3,2,3,3,4,3,3,3,2,2,2,3,3,2,2,4,4
S0504V0755,ARJB,Female,LYA,4,4,4,1,2,2,4,NA,1,NA,1,NA,1,2,1,4,3,2,2,1,3,3,3,2,1,NA,NA
S0364V0344,ARJB,Female,LYA,3,1,2,3,2,1,4,1,1,1,1,2,2,3,3,4,5,2,2,2,4,4,3,1,2,2,2
S0357V0395,ARJB,Female,LYA,2,2,3,3,NA,NA,5,2,1,1,1,2,2,2,2,4,3,2,2,2,4,4,3,3,3,2,3
S0841V1686,ARJB,Female,LYA,3,3,2,5,5,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,3,3,3,1,1,5,5
S0390V1902,ARJB,Female,MA,5,1,1,4,4,1,5,2,NA,1,NA,1,NA,1,1,5,3,2,2,1,4,4,3,3,1,5,NA
S0992V2006,ARJB,Female,MA,2,1,1,2,2,1,1,1,NA,2,NA,2,NA,4,3,4,5,3,3,1,4,4,3,2,2,4,NA
S0840V1685,ARJB,Female,LYA,NA,1,1,1,2,2,2,3,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,4,4,2,2,1,6,NA
S0642V1252,ARJB,Female,MA,4,1,1,1,2,2,5,1,2,1,1,1,1,1,1,5,4,3,3,1,4,4,3,3,1,6,6
S0853V1727,ARJB,Female,EYA,2,5,5,1,1,1,2,1,1,1,1,1,1,1,1,4,4,2,1,1,3,4,2,2,1,2,2
S0918V1881,ARJB,Female,LYA,4,1,1,2,1,3,3,NA,3,NA,2,NA,3,3,2,4,4,2,2,2,3,4,2,2,1,NA,5
S0854V1809,ARJB,Female,LYA,2,1,2,1,1,1,2,1,1,1,1,1,1,2,3,2,5,3,2,1,4,5,3,2,1,NA,3
S0837V1677,ARJB,Female,OA,4,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,4,4,3,2,3,4,4,3,3,3,NA,NA
S0911V1856,ARJB,Female,OA,2,2,2,1,1,1,4,NA,1,NA,1,NA,1,1,1,5,5,3,3,1,4,5,3,3,3,NA,NA
S0880V1787,ARJB,Female,MA,1,1,1,1,1,1,2,NA,2,NA,1,NA,1,2,2,4,4,3,3,1,3,4,3,3,1,NA,3
S0970V1981,ARJB,Female,MA,2,2,2,1,1,1,4,NA,2,NA,2,NA,1,1,1,4,4,3,2,2,3,4,3,2,1,NA,NA
S0597V1043,ARJB,Male,LYA,5,3,3,2,4,5,4,4,4,3,3,5,5,4,3,4,4,3,2,1,4,4,3,2,1,3,3
S0643V1253,ARJB,Male,EYA,NA,3,3,2,2,4,4,4,4,3,3,5,5,4,4,3,1,3,2,1,3,4,3,3,1,3,3
S0659V1298,ARJB,Male,MA,NA,1,2,2,3,5,1,5,5,5,5,5,5,4,4,4,4,3,2,3,4,4,3,2,3,5,5
S0697V1375,ARJB,Male,LYA,4,5,4,5,5,5,4,4,4,5,5,5,5,4,4,4,4,3,3,2,4,3,3,2,1,4,4
S0750V1495,ARJB,Male,MA,5,1,1,2,2,3,4,4,4,5,5,4,4,4,4,2,5,2,2,2,3,5,3,2,2,6,6
S0752V1500,ARJB,Male,LYA,5,2,3,3,3,4,3,NA,4,NA,2,NA,3,3,3,1,2,2,3,1,2,2,3,3,1,NA,4
S0773V1561,ARJB,Male,OA,4,3,3,4,4,4,4,2,2,3,3,1,1,5,5,5,5,3,3,3,5,5,3,3,3,6,6
S0782V1596,ARJB,Male,MA,5,NA,5,4,4,5,2,NA,4,NA,5,NA,4,NA,5,NA,NA,NA,NA,NA,4,5,3,2,1,NA,3
S0790V1621,ARJB,Male,LYA,1,4,4,NA,1,2,5,1,2,1,1,5,5,4,3,4,4,3,2,1,4,4,3,2,2,4,NA
S0807V1659,ARJB,Male,LYA,5,5,4,5,5,4,2,3,3,5,NA,2,NA,3,4,4,3,3,2,2,4,3,2,2,2,3,NA
S0893V1822,ARJB,Male,LYA,4,1,1,3,4,5,3,2,2,5,5,2,2,4,4,3,4,3,3,1,4,4,3,3,1,4,4
S0902V1837,ARJB,Male,MA,4,3,4,4,3,5,5,4,4,4,4,5,5,5,5,3,3,3,3,2,4,4,3,3,1,6,6
S1021V2062,ARJB,Male,LYA,5,4,4,2,2,5,2,NA,NA,NA,NA,NA,NA,4,5,2,4,3,2,1,1,5,3,2,2,NA,NA
S1022V2064,ARJB,Male,MA,3,2,3,2,2,2,1,2,2,5,5,5,5,5,5,4,5,3,3,2,4,5,3,3,2,2,2
S1045V2101,ARJB,Male,EYA,4,2,3,4,4,1,5,2,2,1,1,4,4,4,4,2,2,2,1,1,3,2,3,2,2,1,2
S1120V2213,ARJB,Male,MA,4,2,2,3,2,4,4,5,5,5,5,5,5,3,NA,3,4,3,2,1,NA,NA,NA,NA,NA,6,6
S1255V2451,ARJB,Male,MA,5,5,5,5,NA,NA,4,NA,4,NA,5,NA,5,5,5,5,4,3,2,3,5,4,3,2,2,NA,5
S1272V2489,ARJB,Male,LYA,4,4,4,1,1,2,4,NA,3,NA,2,NA,3,3,4,4,5,3,2,1,4,5,3,3,1,4,4
S0570V0973,ARJB,Male,LYA,4,5,5,4,2,2,4,4,4,5,5,3,3,3,3,4,4,3,1,1,NA,NA,NA,NA,NA,5,5
S0592V1023,ARJB,Male,LYA,5,4,5,1,1,1,2,NA,3,NA,1,NA,1,4,5,4,2,3,2,1,4,2,2,2,1,NA,3
S0708V1399,ARJB,Male,EYA,5,5,5,2,5,4,2,5,5,3,3,3,3,3,4,2,1,2,2,1,2,1,2,3,1,NA,4
S0786V1604,ARJB,Male,EYA,5,5,5,2,1,NA,NA,5,5,5,5,5,5,4,5,3,2,1,2,2,NA,NA,NA,NA,NA,NA,NA
S0639V1247,ARJB,Male,EYA,4,5,5,4,4,1,4,NA,NA,NA,NA,NA,NA,3,NA,3,2,2,2,3,NA,NA,NA,NA,NA,NA,NA
S1253V2442,ARJB,Male,LYA,5,2,1,3,3,3,4,NA,NA,NA,NA,NA,NA,5,NA,4,4,3,1,2,NA,NA,NA,NA,NA,NA,NA
S1229V2406,ARJB,Male,MA,2,1,1,1,2,5,4,NA,NA,NA,NA,NA,NA,4,4,5,4,2,1,1,4,4,3,3,2,NA,NA
S1282V2498,ARJB,Male,MA,1,NA,1,1,1,3,4,NA,2,NA,2,NA,2,3,3,4,5,3,3,1,5,4,3,2,1,NA,4
S0921V1889,ARJB,Male,LYA,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,2,3,3,2,1,3,4,3,3,1,5,4
S0554V0881,ARJB,Male,LYA,5,5,5,NA,NA,NA,5,NA,3,NA,4,NA,1,5,5,5,4,3,2,2,3,3,1,2,2,NA,NA
S0520V0814,ARJB,Male,LYA,1,3,3,1,1,1,4,2,2,2,2,2,2,4,3,4,4,3,2,1,4,4,3,2,1,3,3
S0360V0897,ARJB,Male,MA,5,5,5,4,4,4,3,4,NA,4,NA,3,NA,4,NA,4,4,3,3,1,NA,NA,NA,NA,NA,NA,NA
S0913V1860,ARJB,Male,EYA,3,5,5,4,2,2,5,5,5,5,5,3,3,4,4,4,1,2,2,1,4,2,1,3,1,1,1
S0648V1259,ARJB,Male,LYA,5,1,1,2,NA,NA,4,5,4,5,5,4,5,4,4,3,3,3,1,2,3,3,2,1,2,4,NA
S0917V1873,ARJB,Male,MA,4,5,4,2,2,4,2,3,4,3,3,5,5,3,3,5,3,3,2,2,4,4,3,2,2,4,4
S0725V1439,ARJB,Male,LYA,3,5,4,2,2,3,4,4,NA,5,NA,5,NA,4,5,4,4,3,2,2,6,NA,NA,NA,NA,NA,NA
S0767V1547,ARJB,Male,LYA,4,2,2,3,2,3,4,4,3,5,5,5,5,3,3,4,4,3,3,1,4,4,3,2,3,5,5
S0370V0492,ARJB,Male,OA,2,2,2,4,3,4,4,NA,NA,NA,NA,NA,NA,5,5,4,5,3,2,3,4,5,3,2,2,NA,NA
S0537V0868,ARJB,Male,LYA,4,1,1,1,1,1,4,4,3,NA,5,NA,5,5,5,3,4,3,2,2,4,4,3,3,2,3,4
S0681V1339,ARJB,Male,MA,4,1,2,2,2,3,4,2,1,4,4,5,5,5,5,4,4,3,2,2,4,4,3,3,1,6,6
S0658V1291,ARJB,Male,MA,5,5,5,5,5,5,5,5,NA,5,NA,3,NA,5,NA,4,4,3,3,3,NA,NA,NA,NA,NA,4,NA
S0660V1299,ARJB,Male,LYA,4,1,1,5,5,5,3,5,5,5,5,4,4,5,5,3,4,3,2,1,4,4,3,2,1,NA,5
S0929V1901,ARJB,Male,LYA,5,4,4,5,4,5,5,5,NA,5,NA,5,NA,5,5,4,4,3,2,1,3,5,3,3,1,4,NA
S0719V1428,ARJB,Male,LYA,NA,2,2,2,2,2,5,4,4,5,5,5,5,4,5,3,4,3,2,2,1,4,3,3,2,4,4
S0372V0470,ARJB,Male,MA,5,5,NA,NA,NA,NA,5,3,2,1,1,2,2,4,4,3,4,3,3,1,4,5,3,3,3,4,4
S0669V1318,ARJB,Male,LYA,5,2,2,2,2,4,5,4,4,5,5,5,4,4,4,2,4,3,3,1,3,4,3,3,1,3,3
S0961V1967,ARJB,Male,LYA,1,4,4,2,4,5,5,4,3,5,5,4,4,5,5,4,4,3,2,2,4,3,3,3,1,5,5
S1260V1277,ARJB,Male,LYA,4,4,4,3,3,3,NA,3,NA,2,NA,1,NA,4,NA,4,4,3,2,3,NA,NA,NA,NA,NA,3,NA
S0723V1436,ARJB,Male,LYA,2,4,4,2,2,4,4,5,5,3,3,3,3,5,5,4,3,3,2,1,3,3,3,2,1,4,4
S0529V0863,ARJB,Male,MA,4,4,4,5,5,5,4,2,1,5,5,5,5,5,4,4,4,3,3,2,2,4,3,3,3,NA,5
